2010-12-12-chapter-12-king-benjamin-ase,Chapter 12: King Benjamin,http://media.ldscdn.org/thumbnails/2010-12-12-chapter-12-king-benjamin-138x81.jpg,3:12,King Benjamin addresses his people and prophesies about the life of Jesus Christ. The people believe his teachings and covenant to keep the commandments. King Benjamin's son Mosiah is appointed to be the next king.
2010-12-11-chapter-11-enos-ase,Chapter 11: Enos,http://media.ldscdn.org/thumbnails/2010-12-11-chapter-11-enos-138x81.jpg,1:45,"Jacob's son Enos prays all day and into the night, and his sins are forgiven. He prays for the Nephites and the Lamanites. Enos spends the rest of his life serving God and teaching people the gospel."
2010-12-03-chapter-3-lehi-leaves-jerusalem-ase,Chapter 3: Lehi Leaves Jerusalem,http://media.ldscdn.org/thumbnails/2010-12-03-chapter-3-lehi-leaves-jerusalem-138x81.jpg,2:02,"The Lord warns Lehi to flee with his family into the wilderness. Lehi's son, Nephi, prays and believes his father's words but his two other brothers, Laman and Lemuel, rebel."
2010-12-10-chapter-10-jacob-and-sherem-ase,Chapter 10: Jacob and Sherem,http://media.ldscdn.org/thumbnails/2010-12-10-chapter-10-jacob-and-sherem-138x81.jpg,2:17,"Nephi dies, and his brother Jacob becomes the leader. A wicked man named Sherem tells people not to believe in Christ. Jacob speaks with Sherem, ands after a sign from God, Sherem repents and tells the people to believe in Christ."
2010-12-06-chapter-6-lehis-dream-ase,Chapter 6: Lehi’s Dream,http://media.ldscdn.org/thumbnails/2010-12-06-chapter-6-lehis-dream-138x81.jpg,2:08,"Lehi shares a dream he had with his family. In his dream he saw a tree with fruit that would make you happy. Various groups of people either partake of the fruit, get lost on their way to the tree, or mock those who partake of the fruit."
2010-12-01-chapter-1-how-we-got-the-book-of-mormon-ase,Chapter 1: How We Got the Book of Mormon,http://media.ldscdn.org/thumbnails/2010-12-01-chapter-1-how-we-got-the-book-of-mormon-138x81.jpg,2:56,"Joseph Smith sees a vision of God and Jesus Christ. An angel, Moroni, instructs him and shows him where to find an ancient record. Joseph translates the record by the power of God."
2010-12-09-chapter-9-a-new-home-in-the-promised-land-ase,Chapter 9: A New Home in the Promised Land,http://media.ldscdn.org/thumbnails/2010-12-09-chapter-9-a-new-home-in-the-promised-land-138x81.jpg,1:55,"Lehi and his family arrive in the promised land. The Lord commands Nephi to keep a record. After Lehi dies, Laman and Lemuel rebel and their families separate themselves from those who follow Nephi."
2010-12-04-chapter-4-the-brass-plates-ase,Chapter 4: The Brass Plates,http://media.ldscdn.org/thumbnails/2010-12-04-chapter-4-the-brass-plates-138x81.jpg,4:29,"Lehi sends his sons back to Jerusalem to get the brass plates from King Laban. After many attempts they are able to get the plates and, Zoram, one of Laban's servants, comes with them."
2010-12-08-chapter-8-crossing-the-sea-ase,Chapter 8: Crossing the Sea,http://media.ldscdn.org/thumbnails/2010-12-08-chapter-8-crossing-the-sea-138x81.jpg,1:46,Lehi and his family set off in the ship for the promised land. Laman and Lemuel become angry and tie Nephi up with ropes. A storm arises and does not subside until Laman and Lemuel untie Nephi.
2010-12-07-chapter-7-building-the-ship-ase,Chapter 7: Building the Ship,http://media.ldscdn.org/thumbnails/2010-12-07-chapter-7-building-the-ship-138x81.jpg,1:48,The Lord instructs Nephi to build a ship and reveals to Nephi the design and method for making the ship. Laman and Lemuel mock Nephi for attempting to build a ship.
